TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
9.973816,105.6476135
10.07538372,105.9170617
15.83321889,108.233197
10.99248169,106.5696258
16.663888,106.438888
17.783333,106.45
20.577777,103.748611
15.570833,106.959722
16.983333,107.016666
11.11332864,106.78724040000002
10.89720323,106.6349939
16.6,106.667
17.488888,105.413888
20.433333,103.799444
16.966666,106.916666
16.52021368,106.7015723
11.04686143,106.5442847
17.35,105.054166
17.469,105.717
15.580555,106.934722
16.942999999999998,105.966
16.72024432,106.66394540000002
11.35760605,106.7566777
16.82564722,106.8103104
16.625,106.169444
16.977777,107.02361100000002
17.15,106.05
16.29730642,107.5650845
17.05,107.1
20.447222,103.838888
16.1407524,108.0635639
16.676,106.669
16.88200451,106.970406
16.966666,107.0
10.02095568,105.5902144
13.92710628,109.172417
16.586111,106.566666
16.67143833,106.6644604
16.641666,106.363888
19.142,103.69
11.23677713,106.5361275
11.18635132,106.0742655
16.53541472,106.7213818
14.18906472,108.9303934
13.49848678,107.9005088
13.20551083,108.319177
15.52503267,108.3659259
20.483333,103.783333
17.183332999999998,106.15
11.00411632,106.5925672
15.50515124,108.3652466
9.92376271,105.7907445
11.02596863,107.0218953
11.282715199999998,106.5693501
10.39157509,107.26422420000002
16.65006188,106.7364652
16.62741575,106.7428231
16.45933385,107.6112045
14.78653734,107.8249899
16.75937198,106.6305143
13.86884782,108.1014748
16.87488969,107.1392569
9.996379,105.6722957
15.213888,107.073611
16.60152342,106.5907463
10.20663202,106.3967469
16.675,106.669444
14.30873507,107.745729
13.63341832,108.5509287
11.0041307,106.5898217
16.61604854,106.6967902
16.844444,105.904166
16.63390562,106.7231956
14.12622744,108.0976893
19.667,103.75
16.348045199999998,107.1474674
16.63924164,106.7335554
11.01723986,106.8305844
17.042,107.017
17.286111,105.602777
16.908,106.368
11.3108797,106.8580747
15.583332999999998,106.433333
15.92251458,108.2235754
17.317,105.717
14.14324677,108.9622988
20.543611,105.919444
15.52608013,108.3780256
15.814,106.087
16.975,106.986
16.67175835,106.62414409999998
17.703,106.481
16.70648393,106.689147
16.60215159,106.62637
16.56384771,106.6700932
10.02617368,105.6979093
16.95033019,107.0959845
15.85028173,108.2254992
16.9894846,106.9752818
9.37559662,105.8167914
11.01180497,106.3079596
16.6631994,106.6775156
15.3992313,108.5835698
17.492,105.708
15.82629061,108.25661770000002
15.74833359,108.1643999
13.84424818,109.2128457
16.875,106.425
14.36891741,108.00285490000002
15.708332999999998,106.866666
16.82798283,107.04303090000002
16.29992816,107.7166449
15.86119793,108.0937748
11.0460307,106.9954939
17.036111,105.888888
16.48638106,107.6153121
12.333,109.1
10.88239245,106.3320947
16.725,106.708333
14.68436884,107.906258
16.64370494,106.7401578
11.14825516,107.1161081
9.39684785,105.5918552
16.883,106.417
16.5991514,106.6628995
12.62622714,108.04661740000002
16.945999999999998,106.929
11.10124262,106.68830049999998
9.96936726,106.2561499
20.413888,103.916666
10.92453341,108.0629201
11.86404889,106.7277254
16.65585443,106.4533636
20.41,103.764
17.0125,107.091666
16.67252903,106.6410285
17.074166,107.065277
10.49053406,106.5962721
15.91216676,108.261989
10.18108154,105.9584455
16.98483359,107.0794654
10.95076378,108.0663186
15.96410608,108.0241441
11.0190124,106.6805082
16.642,106.167
10.92564582,106.555549
11.95432873,108.429414
15.86700653,108.1916745
17.0,107.091666
11.05384203,107.0440494
17.208333,105.823611
11.54191175,106.6221212
15.91089943,108.0295955
15.82809679,108.2565933
15.883,106.711
10.99897263,107.0034115
17.766666,106.275
10.4181283,106.4196035
15.558,106.794
10.24304833,104.8390204
9.6726659,106.2778179
17.408333,105.225
16.20201887,107.2870841
10.24534137,105.9422013
14.40599612,107.9211509
14.72036407,107.6143665
16.6,106.566666
15.71670343,108.1629735
15.85065494,108.184436
9.77363311,105.0526466
16.475,106.611
12.68567803,109.120937
17.592,106.292
11.263597099999998,106.5939786
16.922,106.01
