TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
11.826666,104.808888
11.445,104.790833
11.215277,104.759166
11.380555,104.5325
11.454166,104.786388
11.3275,105.298888
12.016111,104.69
11.680277,104.767777
11.356666,104.8875
11.511944,105.330277
11.455,104.819444
13.724166,107.404444
11.024444,104.776666
11.433611,104.817777
12.034444,104.700277
11.451388,104.771666
11.390833,105.255277
11.459444,104.793611
11.181944,104.816666
11.377222,105.003611
11.413333,105.104444
11.482222,105.108333
10.884166,104.768333
11.7825,104.876944
12.863055,104.6275
11.398888,104.743333
11.557222,104.572222
11.638611,104.723888
11.456944,104.903611
11.408055,105.253055
11.425277,105.098888
11.453333,104.861666
11.461388,104.8
11.446944,104.88638799999998
11.386666,104.841666
11.666388,104.581666
10.668055,104.154166
11.214444,105.329722
11.406666,105.241111
11.266944,104.977222
11.386111,105.264166
12.843333,104.900555
11.723611,105.020277
12.059166,104.655555
11.4225,105.059722
11.931944,105.655
11.501666,104.493888
11.765555,104.578333
11.37,105.238333
11.131111,105.24638799999998
13.213888,104.196944
11.597777,104.713888
11.475833,104.921944
11.665833,105.126666
11.639444,104.721111
12.367222,104.472777
11.427777,105.345555
11.362777,105.270277
11.300277,104.826666
11.436944,104.901111
11.456944,104.878055
11.7,104.755
11.366388,104.866944
11.395277,105.26138799999998
11.189166,105.238055
11.405277,104.830277
11.381666,105.263333
11.450555,104.853333
11.379722,105.321666
12.149722,104.885
11.393888,105.268611
11.447777,104.928611
11.445,104.828611
11.511111,105.326388
11.493055,104.230555
11.434166,104.635
11.463333,104.903611
11.314722,105.308055
11.459722,104.929444
11.39,105.2475
11.450555,104.801944
11.397222,105.26138799999998
11.4525,104.872777
11.511944,105.332777
11.4425,104.833055
11.727222,104.688888
11.369166,105.254722
11.745555,105.007222
11.355555,105.275
11.406111,105.240277
11.431666,104.9
11.362777,105.270277
11.455,104.815555
11.464166,104.870833
11.444166,104.814722
11.446666,104.790833
11.373611,105.266666
11.456111,104.902777
11.024444,104.780277
11.45,104.840833
11.635555,104.546666
11.528055,104.653333
12.015555,104.689444
11.466944,105.018333
11.637777,104.720277
11.453055,105.355833
11.692777,104.8
11.881111,104.961388
11.757222,105.044166
11.4225,104.792777
11.079722,105.194166
12.069166,105.078055
11.266111,104.977222
11.646666,104.779722
11.3825,105.263055
11.447777,104.768055
11.733611,104.9725
11.464722,105.341111
11.959722,104.775833
13.702222,107.128888
11.436944,105.193333
12.253611,104.798611
11.160277,104.799444
11.441388,104.839444
11.129444,105.247222
11.132222,105.245555
11.461388,104.230277
11.273333,104.906666
11.468611,105.273333
11.414444,104.804722
11.408055,105.253055
11.434166,104.891944
12.000555,105.11861100000002
11.463333,104.860555
11.995,104.949444
13.522777,106.621944
11.465,105.035833
11.475555,104.619444
11.360833,105.270277
11.446111,104.945
11.519166,104.650555
11.336388,104.771666
11.216388,104.991666
11.436111,104.906388
11.905555,104.954166
11.166388,105.236388
11.398888,105.262222
11.521666,104.492777
11.332777,105.280555
11.394444,105.26138799999998
11.459444,104.795555
13.322222,104.210555
11.273333,104.906666
11.643055,104.779722
11.923611,105.17
13.868610999999998,104.7575
11.901944,104.938333
12.07,105.078055
11.664722,104.767777
11.217222,105.265555
11.455,105.049444
11.546944,104.5625
11.435277,104.910277
11.448888,104.928611
12.149722,104.880555
11.703611,104.796388
11.638611,104.736666
12.07,105.078055
11.447777,104.793611
11.458611,104.806388
11.814166,104.828333
11.512777,104.669722
12.325277,105.986111
13.593888,107.521388
12.000555,105.064444
11.4325,104.885277
11.451388,104.806388
11.357222,104.516944
11.428888,105.074166
11.453333,104.821111
11.132222,105.245555
11.653055,104.733888
11.749166,105.019166
11.408055,104.831388
10.875277,104.865555
11.352777,105.272222
12.028333,104.648611
12.086111,104.705833
11.7825,104.876944
11.469722,104.769444
12.101388,104.601944
11.378888,105.255555
11.999444,105.063888
11.508055,104.49
12.065555,104.705833
11.405277,105.2575
11.6475,104.603611
11.444166,105.22
11.448611,104.813055
