TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
9.7075,104.881388
16.865555,106.55638799999998
19.561111,103.422222
16.836111,106.855833
17.279166,106.652222
16.558888,106.829722
19.388055,103.276111
15.6475,108.125833
14.001110999999998,108.8425
15.193333,106.153611
15.598332999999998,106.828333
16.604444,106.691388
11.773333,105.055
16.714444,106.83
9.385555,104.867777
16.578055,106.793333
15.415833,107.015555
16.832222,106.788055
9.768055,106.186388
15.711111,106.842222
19.583611,103.037777
15.166944,106.208333
16.269444,106.949444
10.204166,106.531111
15.417777,106.074722
16.841666,106.229722
15.459166,106.164444
14.013055,107.351944
15.2275,106.318888
15.053333,107.125
10.3525,106.097222
16.188610999999998,106.893611
16.843055,106.551666
19.513888,103.191944
11.813333,105.244722
10.4525,106.190555
10.111944,106.364722
17.286666,106.180833
15.981666,106.703611
19.355833,103.200277
15.941944,108.995833
12.295,108.848333
16.548610999999998,106.396666
15.583332999999998,106.873055
12.223611,105.344722
16.177777,106.906388
9.693888,104.881388
12.901944,109.439444
9.985833,106.240833
15.606111,106.851666
14.805832999999998,107.132777
16.841110999999998,106.884722
9.253611,104.8525
19.557222,103.405
16.177777,106.906388
19.595555,103.235833
9.478611,105.066388
19.551666,103.381111
16.820833,106.840555
10.357222,106.027777
9.717222,104.614444
11.780833,108.990833
11.921111,105.594166
16.9725,107.052222
15.18,106.28
10.556666,105.883055
11.607222,105.988055
12.032222,106.177777
10.436666,107.412777
9.709444,104.897777
12.028333,106.260555
9.554166,106.690277
11.657777,106.440555
16.989166,106.381944
15.211111,106.202222
10.379166,106.224166
16.797222,106.490833
15.405,107.021388
11.687222,106.115
13.808888,108.381944
10.681388,105.898055
19.414722,103.250833
9.703055,104.972777
14.154166,108.969722
19.959444,103.061666
9.477777,105.066388
16.953055,107.016388
19.463333,103.217222
17.205555,106.156944
15.198332999999998,106.216111
15.503888,106.223333
16.845277,106.927222
15.218333,106.208611
15.342776999999998,108.53416599999998
16.229166,107.675833
10.971388,104.373055
19.5,103.275
19.956111,103.064722
16.843055,106.558333
12.287222,109.01
12.203888,105.285
16.308332999999998,106.966666
15.268610999999998,108.5375
10.524722,105.94611100000002
16.928055,106.553333
12.205,105.971944
16.760832999999998,106.673888
15.415833,107.015555
16.488611,106.165555
9.720277,104.905277
9.504166,105.041111
15.815276999999998,108.10111100000002
16.981111,107.099444
10.906388,106.247222
11.26,106.429444
17.635,105.761666
19.514722,103.276666
14.047776999999998,107.195
16.842776999999998,106.911111
15.853888,108.165
19.448888,103.210833
9.708611,105.793333
10.189444,106.390555
15.197222,106.259722
12.643611,104.977777
17.584444,105.7475
9.164722,104.861944
17.074722,106.387222
16.751944,106.661666
19.482222,103.306666
14.808055,107.166944
10.521944,105.961666
16.6175,106.553055
12.631666,104.997222
12.5275,105.358888
16.972222,107.079444
14.759722,107.396944
17.0775,106.393055
16.548610999999998,106.396666
12.403055,108.792222
16.845277,106.227777
12.181666,106.519444
19.546666,103.220277
19.398888,103.280833
16.484166000000002,106.146944
16.995555,107.082777
16.927222,106.543888
12.474722,105.5475
16.362776999999998,106.471944
16.550832999999997,106.028333
19.623888,103.541388
11.184444,106.843888
15.180832999999998,106.143055
19.355833,103.200277
12.651666,104.9225
11.241388,106.517222
13.0425,105.598611
10.050833,105.640833
14.009444,107.336944
10.153888,103.984722
15.578055,106.375833
14.780276999999998,107.153888
13.704722,107.879166
19.401666,103.288333
11.196666,106.776944
19.556388,103.407777
15.166944,106.2075
15.434166,107.763055
19.553611,103.385
16.424722,106.86861100000002
13.039444,108.434444
12.508055,108.407777
19.551388,102.917222
16.299166,105.081388
9.384722,105.756111
10.971388,104.373055
11.648611,105.166944
15.053333,107.125
10.047222,105.552222
11.905555,105.091944
19.496666,103.294166
19.454166,103.196388
15.376666,108.05611100000002
16.8825,106.929444
16.643055,105.588055
12.526944,104.988888
19.588611,103.276944
10.4175,106.7175
16.186111,106.891666
15.198054999999998,106.263611
8.935833,105.293055
11.637222,109.146944
15.501388,105.999722
12.919722,109.125
13.808888,108.381944
11.773055,105.84
12.5325,105.531111
17.279166,106.652222
9.136944,104.91361100000002
15.502776999999998,106.4125
16.949722,107.080277
17.315,106.638611
17.073888,106.384444
16.791666,106.755
10.041666,105.594166
16.280832999999998,105.781666
15.405,107.021388
16.054166,107.178055
16.251388000000002,106.501944
9.971111,105.605833
17.279166,106.652222
11.823888,106.271666
16.760832999999998,106.676666
19.501666,102.75
15.158611,106.241944
12.410833,108.345277
14.2775,106.339722
8.934166000000001,105.293055
14.738333,107.088333
17.315,106.638611
17.278610999999998,106.1875
16.677222,105.581666
15.885277,105.862222
11.178888,108.028611
11.151944,108.317222
17.6625,105.766388
17.075554999999998,106.393055
10.143333,105.889166
19.495,103.205555
17.662777,105.776944
12.491388,105.161111
11.863611,105.844722
16.665,106.266666
15.053333,107.125
15.151944,108.363333
16.711944,106.561944
13.849722,108.890277
15.376944,106.152777
17.616944,105.752222
13.960555,106.82388799999998
15.621388,106.859166
16.203055,107.287222
15.938332999999998,107.805277
15.501944,108.178333
11.791111,106.336666
11.116944,106.803055
15.773055,106.771944
16.04,108.17
17.180555,106.62
15.364166,107.488333
17.076666,106.393055
19.510833,103.248333
16.986944,107.058055
15.2175,106.209722
15.880555,108.063055
15.703055,106.723888
19.633333,103.5225
16.376388000000002,106.460833
10.924444,107.544722
14.919444,108.858888
16.886944,106.063888
17.074722,106.391111
10.908055,107.097222
16.188610999999998,106.893611
15.861111,108.155555
15.123333,108.324722
19.504722,103.277777
16.306388000000002,106.97611100000002
17.250833,106.1225
12.373055,105.185833
19.648611,103.298333
16.671944,105.577777
19.616944,103.126111
11.549166,106.0025
9.710833,105.455833
13.867222,108.820555
16.681666,106.744444
16.946111,106.989166
11.741388,107.833333
16.548610999999998,106.42
14.009444,107.336944
12.934722,109.336944
16.843055,106.553055
16.836111,106.855833
17.200833,106.156944
15.200555,108.497777
11.235277,108.062777
14.808888,107.168055
12.625,104.581944
19.516666,103.206111
16.9,106.569166
19.517222,103.271111
16.276666,107.48
16.303611,106.966666
19.611944,103.544722
14.2775,106.339722
11.031388,107.033055
15.151110999999998,108.364444
16.106666,106.700277
11.2175,106.404444
12.753888,104.9125
11.921111,105.594166
19.563611,103.385833
17.279166,106.652222
16.845554999999997,106.560555
12.651666,104.930833
17.279166,106.652222
16.635277,105.706111
17.5725,105.749166
16.9525,106.551944
19.518055,103.165277
13.704722,107.879166
12.091111,105.929166
10.452777,106.09666599999998
16.986944,107.058055
12.527222,106.132222
16.845277,106.927222
12.342777,104.526111
16.298888,105.750833
19.633333,103.5225
16.892777,106.889166
9.725555,104.899722
11.301944,106.532222
15.218333,106.208611
19.6225,103.541666
10.204166,106.531111
13.596388,106.534444
16.401388,106.384166
10.1425,105.829722
14.798333,107.146666
16.186111,106.891666
16.844722,106.90916599999998
17.664722,105.7675
10.815833,107.09666599999998
14.2775,106.339722
16.869722,106.693333
15.195,106.201111
16.825554999999998,106.826388
16.202776999999998,106.735555
10.359722,106.08888799999998
15.760554999999998,107.87
11.198055,106.071666
12.123055,106.328055
17.598888,105.750277
17.284444,106.649722
16.814166,106.666666
16.868888000000002,106.921666
16.689444,106.772777
19.478055,103.139166
10.086944,105.946666
16.64,106.405555
16.04,108.17
17.548054999999998,105.751111
13.203055,105.272222
16.269444,106.949444
16.192222,106.902777
19.404722,103.208888
16.672777,106.445
12.861111,109.278333
15.511388,106.157222
19.514722,103.276666
16.401388,106.384166
12.185833,105.310833
10.453888,106.035277
9.539444,104.861388
15.471666,106.179444
19.593611,103.237777
17.611388,105.752222
19.560277,103.050277
12.161111,105.334722
15.853888,108.165
15.648611,108.126944
15.855,108.989166
11.645277,105.97611100000002
11.755,103.164444
16.650277,105.599166
19.643055,103.299166
9.775555,106.091666
15.221111,106.186388
10.538055,107.383333
19.541666,103.2775
11.481388,105.718888
17.073888,106.384444
16.298333,106.634444
11.864166,109.010555
17.279166,106.652222
12.529166,105.354444
19.516388,103.192777
19.494444,103.169444
12.091111,105.929166
19.432777,103.221388
17.180555,106.62
16.677222,105.581666
16.829722,106.544166
11.863611,108.305833
16.350277,106.586944
19.605833,103.485555
19.419166,103.211111
14.799166,107.053611
13.1825,109.07138799999998
16.708888,106.739166
19.4825,103.319166
19.5775,103.324722
15.881944,108.165555
11.755,103.164444
17.284444,106.649722
10.13,106.364722
16.536388,106.412222
16.576666,106.849444
11.525555,105.173333
19.554722,103.223055
16.952222,107.082222
16.213611,106.726388
15.191388,106.16
15.415833,107.015555
16.868333,106.675277
13.511388,108.039166
17.076666,106.394722
14.760554999999998,107.1275
19.478333,103.271388
16.743888000000002,106.535
15.205277,106.296944
15.342776999999998,108.53416599999998
10.441111,106.054444
16.266944,107.526666
19.508611,103.117777
19.482777,103.135555
13.595277,106.058611
16.869722,106.693333
16.957777,107.086944
11.771111,105.934444
16.213611,106.726388
16.550832999999997,106.028333
13.568611,108.998888
16.088888,106.206388
12.209444,105.974444
15.191388,106.16
10.985277,107.013611
17.1875,106.152222
16.604166,106.423333
12.381111,105.179444
19.436111,103.1975
15.434166,107.763055
9.525833,104.851388
16.838054999999997,106.845277
10.178333,106.433333
9.7075,104.899722
15.888055,109.038333
19.454444,103.212777
12.032222,106.177777
16.733333,106.49638799999998
19.433333,103.188055
9.474166,105.062777
16.202776999999998,106.735555
11.015,105.609722
15.311111,108.0125
16.969166,107.111388
12.651666,104.976944
15.6475,108.125833
16.8825,106.929444
12.631666,105.071944
16.942777,107.051111
15.806110999999998,108.09666599999998
15.216388,106.235555
16.187777,106.900833
16.846944,106.533888
10.535,105.900277
10.624166,105.665555
15.182777,106.250277
14.808055,107.166944
19.334166,103.224444
19.436111,103.196666
11.647222,105.884444
19.345833,103.211111
17.315,106.638611
16.177777,106.906388
11.755,103.164444
15.345277,107.124166
10.461388,105.986944
16.876388000000002,106.696666
10.971388,104.373055
11.741388,107.833333
11.3825,104.658055
14.061388,109.110555
19.560277,103.248611
16.768611,106.808055
10.430277,105.808611
19.501111,103.186388
16.604444,106.691388
13.843333,108.250277
17.1875,106.152222
16.500277,106.827222
12.481666,105.161111
15.420277,106.155833
15.291944,107.120833
10.973888,105.24361100000002
15.635,106.858333
16.547777,105.677777
16.822222,106.233611
9.582777,105.076666
15.651110999999998,108.129722
16.664166,106.131111
10.816944,106.399722
19.412777,103.198888
11.823888,106.271666
19.5525,103.358333
16.943610999999997,107.038055
15.980277,106.643888
11.661666,106.389166
19.422777,102.7425
19.406944,103.269444
10.462777,104.904166
15.925277,107.692222
15.118888,106.521666
9.6625,105.054722
14.948332999999998,108.483055
16.825554999999998,106.826388
16.177777,106.906388
11.117777,106.802222
