TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
10.281388,103.16
10.627222,103.628611
10.500555,103.638333
10.319166,103.135
10.317222,103.138611
10.627222,103.628611
10.318333,103.138611
10.317222,103.138611
10.500555,103.638333
10.326388,103.141388
10.290277,103.146111
10.276666,103.155277
10.324444,103.139444
10.307222,103.132222
10.500555,103.638333
10.330833,103.145
10.303611,103.132222
10.276666,103.155277
10.299444,103.155277
10.326388,103.155
10.318333,103.138611
10.312777,103.147777
10.279444,103.146111
10.3525,102.963055
10.303611,103.132222
9.955555,103.093333
10.326666,103.191666
10.3075,103.146111
10.236111,103.155555
10.535833,103.446111
10.317222,103.138611
10.276666,103.155277
10.273888,103.150833
10.312777,103.147777
10.561944,103.235833
10.500555,103.638333
10.303611,103.132222
10.326388,103.141388
10.195,103.069166
10.3175,103.164166
10.563055,103.446111
10.308333,103.141388
10.330833,103.141388
9.955555,103.093333
10.195,103.069166
10.312777,103.147777
9.948611,103.176388
10.281388,103.155277
10.276666,103.155277
10.326666,103.191666
10.319166,103.140555
10.500555,103.638333
10.309166,103.138611
10.273888,103.150833
10.408333,103.264166
10.572222,103.446111
10.308611,103.173333
10.326388,103.155
10.276666,103.155277
10.572222,103.446111
10.276666,103.155277
10.279444,103.153611
10.330833,103.141388
10.627222,103.628611
10.308611,103.173333
10.281388,103.16
10.408333,103.264166
10.299444,103.155277
10.408333,103.264166
10.326666,103.173333
10.535833,103.446111
10.236111,103.155555
10.276666,103.155277
10.821111,102.634444
10.321944,103.138611
10.323611,103.138611
10.236111,103.155555
10.500555,103.638333
10.321944,103.141388
10.500555,103.638333
10.315555,103.139444
10.500555,103.638333
