TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
19.307222,105.728333
13.77,107.602777
16.857777,107.224722
16.783610999999997,107.162222
11.806111,106.256944
11.693055,106.59666599999998
14.778054999999998,107.915277
16.379444,107.156388
16.165833,107.305
16.664444,107.127777
15.480555,107.440277
9.563333,105.559444
9.047222,105.320277
14.820277,108.79
14.413610999999998,107.97166599999998
14.427222,107.955
13.800555,107.710277
15.295277,108.665
9.419722,105.924722
15.901666,108.224166
11.652777,106.3525
11.443055,106.521944
13.770276999999998,107.594444
14.759444,106.953055
15.748611,106.439444
10.470555,106.2025
16.654444,105.708055
11.360277,104.364722
11.461944,106.672222
19.914722,102.372777
15.963333,106.737222
17.72,106.392222
10.768611,106.470833
11.095,106.832222
11.078611,106.50888799999998
21.221388,105.836944
11.180277,107.051666
12.665277,104.907777
16.815277,107.18
15.728611,106.428055
16.74,106.154166
15.025277,108.676388
11.319444,106.464444
20.992222,105.833055
11.105555,106.88
15.716666,106.446666
13.791388,107.650277
10.023055,104.726944
11.4525,106.620833
15.180276999999998,107.098333
15.916666,108.190277
15.916666,108.196944
10.764166,106.467222
13.830832999999998,107.818888
15.975,108.101666
11.113055,106.822222
11.685277,106.675555
10.808611,106.801111
16.656388,105.647222
13.284722,105.975
9.971111,105.608611
10.814444,107.036388
17.359166000000002,106.228333
11.339444,106.420555
15.7725,106.507777
16.921944,105.911111
21.260277,105.870277
19.539722,103.364722
10.326111,106.172777
17.734722,106.217777
17.469722,106.629444
16.675832999999997,107.153333
13.830277,107.803055
16.773888,106.8325
19.6425,103.329722
13.791111,107.675
13.785555,107.594722
19.619444,103.185277
20.953333,105.8875
14.459166,107.991666
16.662777,105.583333
11.114722,106.511111
21.379444,106.784722
19.150277,103.069444
14.360276999999998,108.984722
21.724722,104.885
15.736666,106.463611
10.793055,106.835
18.106388,106.271944
16.663055,107.105833
11.361944,106.606666
13.790277,107.645555
11.463333,106.613611
18.702222,105.496944
11.114722,106.834166
10.805555,105.794166
11.170555,106.163333
17.775,105.934444
19.373333,102.978333
18.76,105.759166
16.696944000000002,107.139444
19.579722,105.781944
10.461944,104.89861100000002
16.713888,107.156388
10.181111,106.254444
17.388610999999997,106.61
17.876944,106.458611
19.360555,102.973888
14.0175,107.926666
15.730555,106.429166
16.806110999999998,107.160277
16.555833,105.9375
13.854722,107.658333
16.658333,105.581388
21.005,105.873888
11.694166,106.573611
10.796111,106.407777
11.444722,106.563055
19.251666,102.998055
13.999166,107.9475
19.337777,103.110277
14.488333,108.009722
14.013333,107.907222
11.546111,106.503055
17.876944,106.453888
15.901666,108.224166
16.704722,106.437222
17.252222,105.84666599999998
16.654166,107.032777
19.405555,103.206388
15.869722,108.183611
16.851666,107.199166
15.721666,106.414166
11.363055,106.18138799999998
10.643055,106.796666
17.243333,106.155277
13.795554999999998,107.665
11.620277,106.3275
15.722222,106.446666
17.550276999999998,106.490833
14.426111,107.977222
12.612777,106.399722
17.2825,106.202222
16.709722,107.113333
16.752222,107.024444
16.586666,107.952222
21.14,105.845555
16.877777,107.201388
19.345833,105.714722
20.915555,105.735833
16.822777,107.104166
11.198055,106.825555
13.796110999999998,107.706666
21.116388,105.678888
11.1075,106.700555
15.706388,106.390555
15.270554999999998,106.252777
16.2975,105.899722
14.359444,108.9875
15.132777,106.336666
11.120277,106.682222
19.494444,103.285
11.049444,106.542777
14.098610999999998,107.804444
15.035832999999998,106.344444
14.477222,107.940833
16.8825,107.199722
