TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
19.164722,103.074166
10.695555,106.973333
14.371111,108.979166
18.982222,105.59666599999998
10.045833,106.075
13.777777,107.635833
14.246944,107.993333
11.139444,106.936944
15.741388,106.424444
17.031388,107.029444
19.098611,105.680833
9.787777,105.445833
10.979166,104.781111
17.086944,105.989722
13.592222,107.908333
10.838888,106.376944
19.549166,105.778888
17.7625,104.601944
9.603333,105.428333
16.4875,107.198055
14.250555,107.990555
16.230555,107.916944
11.099166,106.868055
17.388610999999997,106.604166
11.294444,106.87
10.691944,106.433055
10.837777,106.377777
9.434166,105.510277
17.6225,106.447777
19.398333,105.443055
15.823054999999998,107.843888
10.919444,106.546666
15.82,108.397777
15.375555,108.83
14.574722,107.925555
16.725555,106.988611
16.635277,107.146111
16.616944,106.711944
14.088610999999998,106.295
16.668611,106.9
16.8025,106.981944
19.104166,105.718888
18.836111,105.475555
14.705832999999998,107.85111100000002
11.314166,106.613611
11.098611,106.108055
13.405276999999998,105.945
15.689444,106.341944
16.8625,106.046944
16.849166,107.177777
11.246666,106.354166
19.600555,103.110833
15.981388,108.229444
16.469166,106.091666
15.82,108.397777
11.333055,106.623055
16.240833,107.451388
15.588888,107.951388
11.006388,104.73
18.949722,105.624166
14.6225,107.933611
13.753611,107.700555
19.299166,105.707222
10.349444,104.525
13.835277,107.916944
9.863055,105.370277
19.586666,103.2475
15.181666,108.609444
10.295277,104.554166
17.682222,106.3625
11.081666,106.813888
10.55,105.945277
15.901666,108.224166
19.173611,105.703888
19.21,103.070833
10.408888,105.7
16.365833,106.432777
16.778055,106.865555
19.308055,105.731944
10.823611,106.851666
18.005,106.199722
11.128055,106.405
19.134722,103.065833
17.586666,106.284444
13.795,107.733333
17.280555,106.671944
16.832777,107.009444
16.776944,106.996666
13.843333,107.761666
17.1525,106.834444
15.683888,106.341944
15.883888,108.179444
13.838888,107.753333
16.826110999999997,107.213055
14.361388,108.9875
15.939444,108.200277
15.9425,108.236666
11.630555,106.43111100000002
10.345833,106.162777
11.317777,106.415
11.138055,106.410277
11.397777,106.365
18.546944,105.735277
15.784166,106.506944
10.720277,106.896666
18.076666,106.323055
16.794166,107.101666
15.377222,108.406111
18.2625,105.684722
16.241666,107.386111
17.348888,106.21
15.734722,106.473055
11.648888,106.382777
11.767222,106.759444
11.938888,106.768888
9.41,106.143333
10.8075,106.520555
18.979166,105.57388799999998
11.441666,106.440277
17.033054999999997,106.453888
16.937777,107.077222
17.723055,106.480833
10.979166,104.781111
13.814722,107.739166
16.204166,107.983888
16.804722,107.013055
16.608611,106.614444
9.787777,105.40138799999998
19.101666,105.55611100000002
19.500277,103.284444
19.2,102.992777
17.763610999999997,106.369722
11.132777,106.53861100000002
19.223611,103.088611
13.673054999999998,106.945555
17.391666,106.147777
19.532777,102.873611
15.677222,106.426944
10.908611,104.783055
15.856111,108.189166
19.18,102.990277
11.365833,107.018055
18.102777,106.274444
14.693333,107.834166
11.658333,106.64861100000002
11.295,106.644722
11.254722,106.374444
18.525833,105.558333
11.729166,106.610555
15.168055,105.960833
11.036944,106.551666
19.275555,103.128055
17.966944,106.482777
19.391666,103.190555
10.325,104.538611
10.343055,106.230555
10.649166,107.016944
11.0125,106.553611
14.213055,107.9725
11.123611,106.53861100000002
9.617222,105.790277
15.972777,108.061666
16.853610999999997,107.175
11.595,106.319166
19.281944,105.728055
14.4825,107.936388
16.859166000000002,107.009722
11.690833,106.68111100000002
15.826944,108.388333
13.874722,106.925
13.591666,106.569722
17.394166000000002,104.8625
10.530833,106.005555
19.149444,105.621111
11.457222,106.557777
14.376388,108.974444
9.071388,105.400555
19.265833,105.487777
17.107777,106.756388
16.779722,107.177777
11.662777,106.656111
11.025555,106.623055
9.678888,105.733055
15.837777,108.245555
19.379722,103.160277
10.299722,104.538611
16.740833,107.181944
10.895,106.533611
16.325,107.351388
15.7825,106.504166
16.626388000000002,106.865833
11.706111,106.704166
20.026111,102.285555
16.806110999999998,106.980277
16.804722,107.013055
19.495,103.301666
19.23,103.102777
17.593332999999998,106.6475
10.344166,104.527777
15.908888,108.218333
17.405276999999998,106.647777
15.319444,108.654444
12.026111,108.8925
17.2925,106.230833
18.537222,105.720277
11.242222,106.374166
19.4475,103.166111
18.150277,106.249166
19.595277,105.791944
15.438055,106.19888799999998
15.405555,108.274444
10.425,105.680833
19.623055,103.1125
15.450833,108.121666
15.827222,108.190555
9.955277,105.372222
10.457222,106.128611
19.371388,105.933333
11.121666,106.391111
11.042222,106.547222
17.995276999999998,106.3225
9.440833,105.063888
19.291944,103.145833
11.609166,106.535555
16.967776999999998,106.991388
19.039722,105.353611
10.797222,107.023333
11.151388,106.4225
9.883055,104.992777
11.722777,106.616111
11.020833,104.723611
13.809166,107.75861100000002
19.504444,103.241666
15.564166,108.322777
16.803333,107.148888
17.076388,106.571944
13.820555,107.775277
11.163333,106.7575
15.481111,106.39861100000002
11.767222,106.759444
18.332222,105.901944
19.421666,103.200555
17.510277,105.724444
16.531388,106.985833
15.05,107.711666
13.811944,107.668888
16.932776999999998,107.129722
17.989722,106.473611
11.539444,106.168333
17.538055,106.564166
11.256666,106.375277
11.371388,106.581944
11.128611,106.295
16.165,107.514166
10.565555,105.916944
19.190555,102.968333
17.016666,107.048055
16.6175,106.728055
17.749722,106.43
17.042222,106.460833
15.729444,107.369166
11.026111,106.726666
18.422777,105.805
13.780555,107.626111
9.9625,105.340277
11.073611,107.314444
14.695555,107.867777
15.867776999999998,108.180833
10.976944,107.054722
13.836388,107.740277
