TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
17.563610999999998,105.756666
16.091388000000002,106.741944
19.165,102.94
19.5575,103.419166
16.2475,106.875277
10.401388,104.974444
16.3525,107.153333
17.640276999999998,105.763611
16.075554999999998,106.182777
16.314444,106.881666
11.101388,106.47888799999998
15.7425,106.881944
16.359444,107.186111
19.408333,103.032777
15.963055,106.401666
16.261111,106.777222
13.124722,109.218333
19.232222,103.04
14.960555,108.53861100000002
16.731666,106.465555
11.771666,105.032222
10.4675,106.005277
11.446111,105.699722
13.398055,108.0175
14.596944,106.580277
16.946944000000002,105.989166
16.082222,107.339166
19.293888,103.146944
17.661944000000002,105.765555
16.837777,106.543611
19.231388,103.425277
11.413055,104.444444
16.314166,107.368055
10.1475,106.451388
16.406111,106.496666
16.229444,107.430833
14.688055,107.339444
15.659444,106.763611
13.427777,108.235833
19.407777,102.996111
17.429722,105.763888
16.338611,106.573055
16.122777,106.5525
19.0175,103.451944
16.973611,106.388333
16.489722,106.664166
14.965832999999998,106.252777
19.331944,102.9275
15.998333,107.418611
16.406388,106.437777
19.455555,103.234444
16.403888000000002,107.161388
16.295555,106.102777
12.140555,105.196666
16.489722,106.664166
16.5325,106.053611
14.691111,107.32
12.073611,106.442777
16.631388,106.444166
19.361666,103.075555
16.949722,107.056666
9.489444,105.814444
14.631388,106.6975
16.681110999999998,105.47
16.6125,106.459722
15.8425,106.685833
10.113611,104.885833
16.302777,107.075277
15.350554999999998,107.031111
10.039722,106.077777
14.636666,106.711388
16.240555,106.520833
10.056111,106.048611
11.769722,105.083611
12.789444,107.975277
18.086944,104.516111
16.733611,106.456944
14.688055,107.339444
14.671388,106.778611
16.485554999999998,106.625555
15.566666,106.918333
17.318888,105.630555
10.047222,106.2575
16.295833,107.386666
16.237222,106.936944
16.801666,106.102777
16.288888,106.563055
16.75,105.957222
16.818888,106.259722
16.725,106.53
10.045,106.076944
11.679444,105.13388799999998
16.234444,106.824722
16.724722,106.535833
14.741110999999998,107.2825
16.3575,107.020555
16.776666,106.271388
15.171110999999998,106.231666
15.728055,106.751944
14.688055,107.339444
12.269166,105.140833
16.28,105.964166
16.005833,106.60111100000002
10.453888,106.035277
16.670555,106.438611
16.758611,106.50888799999998
11.993333,105.674444
16.554166,106.068611
10.105277,106.438611
16.620276999999998,106.509722
12.018888,106.529722
11.359444,104.065
19.516944,102.903333
16.573055,105.919722
9.014722,104.954444
16.723888,106.535833
13.778332999999998,105.983611
11.999444,105.777222
16.7425,106.488611
17.264166,106.166666
11.9375,105.573055
11.203611,104.205833
16.839444,106.006111
15.198888,106.135833
17.404444,105.75888799999998
11.123055,103.903611
11.755,103.164444
16.545277,106.85111100000002
15.295277,108.057222
10.447222,105.830555
16.811388,107.318055
19.723888,103.247777
16.739444,106.499166
11.350555,104.074166
19.502222,102.876666
17.175555,105.656388
16.234444,106.824722
16.483333,106.459722
11.376666,105.669166
15.3375,107.186388
